81,"Dabuna, Nayagarh - OSPCB",172,21.847279,85.416908
82,"Dada Peer, Sasaram - BSPCB",207,24.952822,84.002396
83,"Dangi Tola, Rajgir - BSPCB",193,25.032801,85.419479
84,"Darshan Nagar, Chhapra - BSPCB",61,25.780827,84.744675
85,"Dasnagar, Howrah - WBPCB",100,22.602556,88.310570
86,"Deen Dayal Nagar, Gwalior - MPPCB",94,26.259241,78.216431
87,"Deen Dayal Nagar, Sagar - MPPCB",202,23.864016,78.802895
88,"Deonar, Mumbai - IITM",157,19.049459,72.922997
89,"Deopur, Dhule - MPCB",79,20.918945,74.776390
90,"Deshpande Nagar, Hubballi - KSPCB",101,15.351773,75.140724
91,"Devaraj Urs Badavane, Davanagere - KSPCB",72,14.475800,75.905197
92,"Dhankawadi, Pune - IITM",188,18.459883,73.852196
93,"Dhanmandi, Kota - RSPCB",138,25.164089,75.858139
94,"Dhoinda, Rajsamand - RSPCB",194,25.036360,73.883499
95,"Digari Kalan, Jodhpur - RSPCB",114,26.295811,73.082283
96,"Divisional Forest Office, Rairangpur - OSPCB",191,22.265816,86.174828
97,"Diwator Nagar, Koppal - KSPCB",136,15.347630,76.181770
98,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",37,25.251013,86.988998
99,"DM Office_Kasipur, Samastipur - BSPCB",205,25.859655,85.779442
100,"Dnyaneshwar Nagar, Solapur - MPCB",219,17.633627,75.913246
101,"Doon University, Dehradun - UKPCB",73,30.269444,78.044167
102,"Dr. Karni Singh Shooting Range, Delhi - DPCC",74,28.498571,77.264839
103,"DRM Office Danapur, Patna - BSPCB",180,25.586561,85.043587
104,"DTU, Delhi - CPCB",74,28.750050,77.111259
105,"Dwarka-Sector 8, Delhi - DPCC ",74,28.571028,77.071899
106,"ECIL Kapra, Hyderabad - TSPCB",102,17.470430,78.566956
107,"Eco Herbal Park, Moradabad - UPPCB",155,28.840738,78.697533
108,"Employment Office, Moradabad - UPPCB",155,28.885281,78.738800
109,"Evelyn Lodge, Asansol - WBPCB",17,23.697935,86.944397
110,"Ferro Chrome Colony, Byasanagar - OSPCB",53,20.941851,86.115097
111,"Fertilizer Township, Rourkela - OSPCB",200,22.189722,84.862778
112,"Forest Office, Barbil - OSPCB",27,22.116606,85.394554
113,"Forest Rest House, Manguraha - BSPCB",151,27.308329,84.531738
114,"Fort William, Kolkata - WBPCB",134,22.556641,88.342674
115,"FTI Kidwai Nagar, Kanpur - UPPCB",121,26.428282,80.327065
116,"Gandak Colony, Motihari - BSPCB",156,26.630859,84.900513
117,"Ganga Nagar, Meerut - UPPCB",152,28.999264,77.759033
118,"Gangapur Road, Nashik - MPCB",170,20.007328,73.776245
119,"Gangineni Cheruvu, Chittoor - APPCB",64,13.204880,79.097893
120,"Gavalinagar, Pimpri Chinchwad - MPCB",182,18.636730,73.824867
121,"Ghusuri, Howrah - WBPCB",100,22.611967,88.347420
122,"GIDC, Ankleshwar - GPCB",13,21.613268,73.010551
123,"GIDC, Nandesari - Nandesari Ind. Association",169,22.410803,73.097923
124,"GIFT City, Gandhinagar - IITM",85,23.163797,72.677765
125,"Girls College, Sivasagar - PCBA",217,26.987635,94.636574
126,"GM Office, Brajrajnagar - OSPCB",50,21.800499,83.839699
127,"Gokul Nagar, Bhiwandi - MPCB",42,19.309072,73.057220
128,"Golden Temple, Amritsar - PPCB",10,31.620001,74.876511
129,"Gole Bazar, Katni - MPPCB",127,23.500160,80.232841
130,"Gomti Nagar, Lucknow - UPPCB",141,26.868120,81.005119
131,"Govindh Bhavan Colony, Jabalpur - JMC",104,23.163174,79.973061
132,"Govt. Girls Inter College, Kashipur - UKPCB",125,29.212412,78.961174
133,"Govt. High School Shikarpur, Patna - BSPCB",180,25.592539,85.227158
134,"Govt. Higher Secondary School, Milupara - CECB",153,22.191017,83.519699
135,"Gulzarpet, Anantapur - APPCB",11,14.675886,77.593025
136,"Gurdeo Nagar, Aurangabad - BSPCB",18,24.757460,84.366211
137,"GVM Corporation, Visakhapatnam - APPCB",249,17.719999,83.300003
138,"Gyaspur, Ahmedabad - IITM",3,22.977135,72.553024
139,"Hakimapada, Angul - OSPCB",12,20.832874,85.104080
140,"Hardev Nagar, Bathinda - PPCB",32,30.233011,74.907761
141,"Hathkhoj, Bhilai - CECB",39,21.224232,81.408348
142,"HB Colony, Vijayawada - APPCB",246,16.536106,80.594231
143,"Hebbal 1st Stage, Mysuru - KSPCB",161,12.210410,76.373756
144,"Hebbal, Bengaluru - KSPCB",35,13.029152,77.585899
145,"HIMUDA Complex Phase-1, Baddi - HPPCB",20,30.943888,76.801994
146,"Hirawadi, Nashik - MPCB",170,20.021503,73.813843
147,"Hombegowda Nagar, Bengaluru - KSPCB",35,12.938539,77.590103
148,"Housing Board, Hanumangarh - RSPCB",97,29.610750,74.283607
149,"Ibrahimpur, Vijayapura - KSPCB",245,16.802639,75.722694
150,"ICRISAT Patancheru, Hyderabad - TSPCB",102,17.518400,78.278778
151,"IDA Pashamylaram, Hyderabad - TSPCB",102,17.531689,78.218941
152,"Idgah Hills, Bhopal - MPPCB",43,23.264759,77.381569
153,"IESD Banaras Hindu University, Varanasi - UPPCB",242,25.262325,82.995407
154,"IGI Airport (T3), Delhi - IMD",74,28.562777,77.118004
155,"IGSC Planetarium Complex, Patna - BSPCB",180,25.610369,85.132568
156,"IHBAS, Dilshad Garden, Delhi - CPCB",74,28.681173,77.302521
157,"IIPHG Lekawada, Gandhinagar - IITM",85,23.243639,72.689941
158,"IITG, Guwahati - PCBA",93,26.202864,91.700462
159,"IITH Kandi, Hyderabad - TSPCB",102,17.585705,78.126198
160,"Indira Colony Vistar, Pali - RSPCB",175,25.771061,NULL
161,"Indirapuram, Ghaziabad - UPPCB",88,28.646233,77.358078
162,"Indra Nagar, Jhunjhunu - RSPCB",113,28.108988,75.386574
163,"Industrial Area, Hajipur - BSPCB",95,25.697189,85.245903
164,"ITO, Delhi - CPCB",74,28.628624,77.241058
165,"Jadavpur, Kolkata - WBPCB",134,22.499290,88.369171
166,"Jagamohanpur, Keonjhar - OSPCB",128,21.643900,85.599358
167,"Jahangirpuri, Delhi - DPCC",74,28.732821,77.170631
168,"Jai Bhim Nagar, Meerut - UPPCB",152,28.953588,77.762291
169,"Jawahar Nagar, Puducherry - PPCC",186,11.930900,79.802696
