91,46,1,2025-08-23,09:00:00.0000000,4.000,8.000,6.000
92,46,8,2025-08-23,09:00:00.0000000,4.000,8.000,6.000
93,75,3,2025-08-23,09:00:00.0000000,21.000,123.000,24.000
94,75,10,2025-08-23,09:00:00.0000000,21.000,123.000,24.000
95,187,7,2025-08-23,09:00:00.0000000,7.000,30.000,13.000
96,187,14,2025-08-23,09:00:00.0000000,7.000,30.000,13.000
97,398,1,2025-08-23,09:00:00.0000000,3.000,4.000,3.000
98,398,8,2025-08-23,09:00:00.0000000,3.000,4.000,3.000
99,163,5,2025-08-23,09:00:00.0000000,2.000,5.000,4.000
100,163,12,2025-08-23,09:00:00.0000000,2.000,5.000,4.000
101,256,2,2025-08-23,09:00:00.0000000,32.000,55.000,40.000
102,256,9,2025-08-23,09:00:00.0000000,32.000,55.000,40.000
103,199,6,2025-08-23,09:00:00.0000000,6.000,198.000,28.000
104,199,13,2025-08-23,09:00:00.0000000,6.000,198.000,28.000
107,136,2,2025-08-23,09:00:00.0000000,10.000,73.000,34.000
108,136,9,2025-08-23,09:00:00.0000000,10.000,73.000,34.000
109,136,6,2025-08-23,09:00:00.0000000,7.000,8.000,8.000
110,136,13,2025-08-23,09:00:00.0000000,7.000,8.000,8.000
111,183,2,2025-08-23,09:00:00.0000000,23.000,32.000,28.000
112,183,9,2025-08-23,09:00:00.0000000,23.000,32.000,28.000
113,481,5,2025-08-23,09:00:00.0000000,20.000,23.000,21.000
114,481,12,2025-08-23,09:00:00.0000000,20.000,23.000,21.000
115,481,7,2025-08-23,09:00:00.0000000,33.000,50.000,36.000
116,481,14,2025-08-23,09:00:00.0000000,33.000,50.000,36.000
117,448,4,2025-08-23,09:00:00.0000000,24.000,65.000,45.000
118,448,11,2025-08-23,09:00:00.0000000,24.000,65.000,45.000
123,382,4,2025-08-23,09:00:00.0000000,33.000,99.000,52.000
124,382,11,2025-08-23,09:00:00.0000000,33.000,99.000,52.000
127,83,3,2025-08-23,09:00:00.0000000,60.000,100.000,87.000
128,83,10,2025-08-23,09:00:00.0000000,60.000,100.000,87.000
129,316,6,2025-08-23,09:00:00.0000000,6.000,9.000,7.000
130,316,13,2025-08-23,09:00:00.0000000,6.000,9.000,7.000
131,316,1,2025-08-23,09:00:00.0000000,4.000,4.000,4.000
132,316,8,2025-08-23,09:00:00.0000000,4.000,4.000,4.000
133,316,3,2025-08-23,09:00:00.0000000,37.000,42.000,41.000
134,316,10,2025-08-23,09:00:00.0000000,37.000,42.000,41.000
135,99,1,2025-08-23,09:00:00.0000000,2.000,2.000,2.000
136,99,8,2025-08-23,09:00:00.0000000,2.000,2.000,2.000
139,82,3,2025-08-23,09:00:00.0000000,24.000,68.000,52.000
140,82,10,2025-08-23,09:00:00.0000000,24.000,68.000,52.000
141,63,6,2025-08-23,09:00:00.0000000,1.000,9.000,1.000
142,63,13,2025-08-23,09:00:00.0000000,1.000,9.000,1.000
143,63,1,2025-08-23,09:00:00.0000000,1.000,1.000,1.000
144,63,8,2025-08-23,09:00:00.0000000,1.000,1.000,1.000
145,67,3,2025-08-23,09:00:00.0000000,17.000,51.000,49.000
146,67,10,2025-08-23,09:00:00.0000000,17.000,51.000,49.000
147,141,4,2025-08-23,09:00:00.0000000,3.000,22.000,12.000
148,141,11,2025-08-23,09:00:00.0000000,3.000,22.000,12.000
149,141,6,2025-08-23,09:00:00.0000000,7.000,24.000,13.000
150,141,13,2025-08-23,09:00:00.0000000,7.000,24.000,13.000
151,141,3,2025-08-23,09:00:00.0000000,6.000,19.000,8.000
152,141,10,2025-08-23,09:00:00.0000000,6.000,19.000,8.000
153,240,4,2025-08-23,09:00:00.0000000,5.000,57.000,20.000
154,240,11,2025-08-23,09:00:00.0000000,5.000,57.000,20.000
