183,Pithampur,Madhya Pradesh
184,Pratapgarh,Rajasthan
185,Prayagraj,Uttar_Pradesh
186,Puducherry,Puducherry
187,Pudukottai,TamilNadu
188,Pune,Maharashtra
189,Purnia,Bihar
190,Raipur,Chhattisgarh
191,Rairangpur,Odisha
192,Rajamahendravaram,Andhra_Pradesh
193,Rajgir,Bihar
194,Rajsamand,Rajasthan
195,Ramanagara,Karnataka
196,Ramanathapuram,TamilNadu
197,Ranipet,TamilNadu
198,Ratlam,Madhya Pradesh
199,Rishikesh,Uttarakhand
200,Rourkela,Odisha
201,Rupnagar,Punjab
202,Sagar,Madhya Pradesh
203,Saharsa,Bihar
204,Salem,TamilNadu
205,Samastipur,Bihar
206,Sangli,Maharashtra
207,Sasaram,Bihar
208,Satna,Madhya Pradesh
209,Sawai Madhopur,Rajasthan
210,Shillong,Meghalaya
211,Shivamogga,Karnataka
212,Sikar,Rajasthan
213,Silchar,Assam
214,Siliguri,West_Bengal
215,Singrauli,Madhya Pradesh
216,Sirohi,Rajasthan
217,Sivasagar,Assam
218,Siwan,Bihar
219,Solapur,Maharashtra
220,Sri Ganganagar,Rajasthan
221,Srinagar,Jammu_and_Kashmir
222,Suakati,Odisha
223,Surat,Gujarat
224,Talcher,Odisha
225,Tensa,Odisha
226,Thane,Maharashtra
227,Thanjavur,TamilNadu
228,Thiruvananthapuram,Kerala
229,Thoothukudi,TamilNadu
230,Thrissur,Kerala
231,Tiruchirappalli,TamilNadu
232,Tirumala,Andhra_Pradesh
233,Tirunelveli,TamilNadu
234,Tirupati,Andhra_Pradesh
235,Tirupur,TamilNadu
236,Tonk,Rajasthan
237,Tumakuru,Karnataka
238,Tumidih,Chhattisgarh
239,Udaipur,Rajasthan
240,Ulhasnagar,Maharashtra
241,Vapi,Gujarat
242,Varanasi,Uttar_Pradesh
243,Vatva,Gujarat
244,Vellore,TamilNadu
245,Vijayapura,Karnataka
246,Vijayawada,Andhra_Pradesh
247,Virar,Maharashtra
248,Virudhunagar,TamilNadu
249,Visakhapatnam,Andhra_Pradesh
250,Vrindavan,Uttar_Pradesh
251,Yadgir,Karnataka
